zdroj_id,nazev,mnozstvi
728230033,oxidy dusíku,0.133
728230033,oxid uhelnatý,0.142
730590013,oxidy dusíku,0.067
730590013,oxid uhelnatý,0.003
730590013,těkavé organické látky (VOC),0.186
727870093,tuhé znečišťující látky,0.005
727870093,oxidy dusíku,0.199
727870093,oxid uhelnatý,0.122
727870093,organické látky vyjádřené jako TOC,0.781
727870093,těkavé organické látky (VOC),0.259
731280711,těkavé organické látky (VOC),1.006
731280551,tuhé znečišťující látky,0.377
731280551,oxid siřičitý,0.001
731280551,oxidy dusíku,0.367
731280551,oxid uhelnatý,0.043
731280551,organické látky vyjádřené jako TOC,0.008
727020251,těkavé organické látky (VOC),0.296
731380631,těkavé organické látky (VOC),0.015
729050791,oxidy dusíku,0.139
729050791,oxid uhelnatý,0.025
310059172,tuhé znečišťující látky,0.0
310059172,oxid siřičitý,0.0
310059172,oxidy dusíku,0.014
310059172,oxid uhelnatý,0.0
310059172,organické látky vyjádřené jako TOC,0.004
731430033,těkavé organické látky (VOC),0.001
310001522,tuhé znečišťující látky,0.056
727180321,těkavé organické látky (VOC),0.203
731430043,těkavé organické látky (VOC),4.64
727071083,oxidy dusíku,0.571
727071083,oxid uhelnatý,0.115
731567991,organické látky vyjádřené jako TOC,0.089
731567991,těkavé organické látky (VOC),0.064
727410531,oxidy dusíku,0.811
727410531,oxid uhelnatý,0.033
727410531,těkavé organické látky (VOC),2.373
755540711,tuhé znečišťující látky,0.001
755540711,oxidy dusíku,0.036
755540711,oxid uhelnatý,0.009
755540711,těkavé organické látky (VOC),0.584
730620291,těkavé organické látky (VOC),0.804
319900782,tuhé znečišťující látky,0.007
319900782,oxidy dusíku,0.007
319900782,oxid uhelnatý,0.001
319900782,organické látky vyjádřené jako TOC,0.336
319900782,těkavé organické látky (VOC),0.09
731280701,oxidy dusíku,0.105
731280701,oxid uhelnatý,0.004
731280701,organické látky vyjádřené jako TOC,0.13
119805582,oxidy dusíku,0.018
119805582,oxid uhelnatý,0.004
119805582,těkavé organické látky (VOC),0.086
729700491,oxidy dusíku,0.09
729700491,oxid uhelnatý,0.02
729700491,těkavé organické látky (VOC),0.796
119812352,organické látky vyjádřené jako TOC,0.165
119812352,těkavé organické látky (VOC),0.427
731940303,těkavé organické látky (VOC),0.286
782370191,oxidy dusíku,0.005
782370191,oxid uhelnatý,0.001
782370191,těkavé organické látky (VOC),0.826
728611001,oxidy dusíku,0.044
728611001,oxid uhelnatý,0.011
310069582,oxidy dusíku,0.03
310069582,oxid uhelnatý,0.001
310069582,těkavé organické látky (VOC),0.678
310068902,tuhé znečišťující látky,0.005
310068902,oxid siřičitý,0.068
310068902,oxidy dusíku,0.024
310068902,organické látky vyjádřené jako TOC,0.023
310068902,těkavé organické látky (VOC),0.564
310068902,chrom šestimocný,2.3e-05
310068902,"kadmium a jeho sloučeniny, vyjádřené jako Cd",4.5e-06
310068902,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.00387
310046822,oxidy dusíku,0.032
310051792,tuhé znečišťující látky,0.713
310051792,oxid siřičitý,0.307
310051792,oxidy dusíku,1.184
310051792,oxid uhelnatý,4.644
728760073,těkavé organické látky (VOC),0.4
732450083,těkavé organické látky (VOC),1.197
643770803,oxidy dusíku,0.018
643770803,oxid uhelnatý,0.017
310063392,oxidy dusíku,0.366
310063392,oxid uhelnatý,0.219
738620691,tuhé znečišťující látky,0.006
738620691,oxid siřičitý,0.001
738620691,oxidy dusíku,0.28
738620691,oxid uhelnatý,0.141
738620691,organické látky vyjádřené jako TOC,0.007
310014202,organické látky vyjádřené jako TOC,0.174
310014202,těkavé organické látky (VOC),0.352
310094972,tuhé znečišťující látky,0.032
310094972,oxid siřičitý,0.001
310094972,oxidy dusíku,0.201
310094972,oxid uhelnatý,0.034
310094972,organické látky vyjádřené jako TOC,0.007
310096492,tuhé znečišťující látky,0.107
310096492,oxid siřičitý,0.004
310096492,oxidy dusíku,0.559
310096492,oxid uhelnatý,0.114
310096492,organické látky vyjádřené jako TOC,0.023
119808072,tuhé znečišťující látky,0.513
119808082,tuhé znečišťující látky,0.0
119808082,oxidy dusíku,0.0
119808082,oxid uhelnatý,0.0
119808062,tuhé znečišťující látky,0.836
310069342,tuhé znečišťující látky,0.023
310069342,oxidy dusíku,0.092
310069342,oxid uhelnatý,0.024
310069342,organické látky vyjádřené jako TOC,0.005
793260133,oxidy dusíku,0.283
793260133,oxid uhelnatý,0.007
310098022,oxidy dusíku,0.005
310098022,oxid uhelnatý,0.006
310098022,těkavé organické látky (VOC),0.054
310097312,oxidy dusíku,0.84
310097312,oxid uhelnatý,0.207
728160243,tuhé znečišťující látky,0.0
728160243,oxidy dusíku,0.339
728160243,oxid uhelnatý,0.02
731220481,oxidy dusíku,0.002
731220481,oxid uhelnatý,0.002
319900992,těkavé organické látky (VOC),1.342
728160621,tuhé znečišťující látky,0.129
728160621,oxid siřičitý,0.003
728160621,oxidy dusíku,0.818
728160621,oxid uhelnatý,0.136
728160621,organické látky vyjádřené jako TOC,0.027
730950083,oxidy dusíku,0.088
730950083,oxid uhelnatý,0.015
727750523,tuhé znečišťující látky,0.0
727750523,oxidy dusíku,0.0
727750523,oxid uhelnatý,0.0
727410593,oxidy dusíku,0.186
727410593,oxid uhelnatý,0.027
729718201,tuhé znečišťující látky,0.01
729718201,oxid siřičitý,0.911
729718201,oxidy dusíku,0.314
729718201,těkavé organické látky (VOC),8.608
729718201,chrom šestimocný,0.000135
729718201,"kadmium a jeho sloučeniny, vyjádřené jako Cd",1.0834e-05
