zdroj_id,nazev,mnozstvi
730590013,oxidy dusíku,0.062
730590013,oxid uhelnatý,0.003
730590013,těkavé organické látky (VOC),0.277
727870093,tuhé znečišťující látky,0.008
727870093,oxidy dusíku,0.349
727870093,oxid uhelnatý,0.224
727870093,těkavé organické látky (VOC),2.269
731280711,těkavé organické látky (VOC),0.332
731280551,tuhé znečišťující látky,0.535
731280551,oxid siřičitý,0.002
731280551,oxidy dusíku,0.465
731280551,oxid uhelnatý,0.055
731280551,organické látky vyjádřené jako TOC,0.011
727020251,těkavé organické látky (VOC),0.589
731380631,těkavé organické látky (VOC),0.01
729050791,oxidy dusíku,0.142
729050791,oxid uhelnatý,0.028
310059172,tuhé znečišťující látky,0.0
310059172,oxid siřičitý,0.0
310059172,oxidy dusíku,0.014
310059172,oxid uhelnatý,0.0
310059172,organické látky vyjádřené jako TOC,0.004
731430063,těkavé organické látky (VOC),0.001
310001522,tuhé znečišťující látky,0.068
727180321,těkavé organické látky (VOC),0.212
731430043,těkavé organické látky (VOC),5.806
727071083,oxidy dusíku,0.45
727071083,oxid uhelnatý,0.111
731567991,organické látky vyjádřené jako TOC,0.158
731567991,těkavé organické látky (VOC),0.054
727410531,oxidy dusíku,0.142
727410531,oxid uhelnatý,0.033
727410531,těkavé organické látky (VOC),2.654
755540711,tuhé znečišťující látky,0.001
755540711,oxidy dusíku,0.037
755540711,oxid uhelnatý,0.01
755540711,těkavé organické látky (VOC),1.255
730620291,tuhé znečišťující látky,0.012
730620291,těkavé organické látky (VOC),0.809
319900782,tuhé znečišťující látky,0.008
319900782,oxidy dusíku,0.006
319900782,oxid uhelnatý,0.001
319900782,organické látky vyjádřené jako TOC,0.412
319900782,těkavé organické látky (VOC),0.088
731280701,oxidy dusíku,0.008
731280701,oxid uhelnatý,0.638
731280701,organické látky vyjádřené jako TOC,0.145
119805582,oxidy dusíku,0.029
119805582,oxid uhelnatý,0.007
119805582,těkavé organické látky (VOC),0.4
729700491,oxidy dusíku,0.096
729700491,oxid uhelnatý,0.023
729700491,těkavé organické látky (VOC),0.67
119812352,organické látky vyjádřené jako TOC,0.161
119812352,těkavé organické látky (VOC),0.414
782370191,oxidy dusíku,0.004
782370191,oxid uhelnatý,0.001
782370191,těkavé organické látky (VOC),0.853
728611001,oxidy dusíku,0.034
728611001,oxid uhelnatý,0.008
310069582,oxidy dusíku,0.032
310069582,oxid uhelnatý,0.001
310069582,těkavé organické látky (VOC),0.73
310068902,tuhé znečišťující látky,0.005
310068902,oxid siřičitý,0.068
310068902,oxidy dusíku,0.024
310068902,organické látky vyjádřené jako TOC,0.021
310068902,těkavé organické látky (VOC),0.471
310068902,chrom šestimocný,2.3e-05
310068902,"kadmium a jeho sloučeniny, vyjádřené jako Cd",4.5e-06
310068902,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.00387
727120013,tuhé znečišťující látky,0.004
727120013,oxidy dusíku,0.052
727120013,oxid uhelnatý,0.022
310046822,oxidy dusíku,0.032
310051792,tuhé znečišťující látky,0.603
310051792,oxid siřičitý,0.259
310051792,oxidy dusíku,0.998
310051792,oxid uhelnatý,3.916
728760073,těkavé organické látky (VOC),0.635
732450083,těkavé organické látky (VOC),1.196
310019232,tuhé znečišťující látky,0.002
310019232,oxid siřičitý,0.001
310019232,oxidy dusíku,0.111
310019232,oxid uhelnatý,0.027
310019232,organické látky vyjádřené jako TOC,0.005
