id,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
730590013,AAA AUTO International Praha - lakovna,451100,Dopraváků 723/1,184 00 Praha,"50° 8´ 13.890"" sš 14° 26´ 53.171"" vd",22341609,0.7,0.062,0,0.003,0,0,0.277,0,0,zemní plyn
727870093,ABB PG Novodvorská,271200,Novodvorská 1768/138a,142 00 Praha,"50° 1´ 40.854"" sš 14° 25´ 55.702"" vd",25206257,3.8,0.349,0,0.224,0,0.008,2.269,0,0,nafta;zemní plyn
731280711,"AF BKK, s.r.o.",181200,Podkovářská 674/2,190 00 Praha,"50° 6´ 13.123"" sš 14° 30´ 50.482"" vd",22545883,,0,0,0,0,0,0.332,0,0,
731280551,"AGMA, a.s. - slévárna neželezných kovů",245400,Kolbenova 159/5,190 00 Praha,"50° 6´ 39.037"" sš 14° 30´ 28.623"" vd",22541918,1.4,0.465,0.002,0.055,0,0.535,0,0,0.011,zemní plyn
727020251,ALBE PRAHA s.r.o. - chemická čistírna Martinská,960100,Martinská 416/10,110 00 Praha,"50° 4´ 59.391"" sš 14° 25´ 12.306"" vd",21719641,,0,0,0,0,0,0.589,0,0,
731380631,ALNA-CZECH s.r.o. - rychločistírna oděvů Praha-Prosek,960100,Vysočanská 382/20,190 00 Praha,"50° 7´ 10.046"" sš 14° 29´ 56.944"" vd",22505377,,0,0,0,0,0,0.01,0,0,
729050791,Anděl Investment Praha - kotelna a náhradní zdroj,551010,Stroupežnického 3181/21,150 00 Praha,"50° 4´ 15.061"" sš 14° 24´ 9.831"" vd",25671090,7.4,0.142,0,0.028,0,0,0,0,0,nafta;zemní plyn
310059172,"Armáda spásy v České republice, z. s. - Praha, Tusarova",949900,Tusarova 1271/60,170 00 Praha,"50° 6´ 6.559"" sš 14° 27´ 14.302"" vd",22309179,0.4,0.014,0.0,0.0,0,0.0,0,0,0.004,zemní plyn
731430063,ASE-MC s.r.o.,256100,Beranových 130,199 00 Praha,"50° 7´ 58.413"" sš 14° 30´ 51.399"" vd",22492771,,0,0,0,0,0,0.001,0,0,
310001522,"ASKO a.s. - Praha, Františka Diviše 984",467300,Františka Diviše 984,104 00 Praha,"50° 2´ 17.260"" sš 14° 34´ 43.770"" vd",22727710,,0,0,0,0,0.068,0,0,0,
727180321,ASTERA s.r.o. - čistírna oděvů,960100,Jindřišská 901/5,110 00 Praha,"50° 5´ 0.000"" sš 14° 25´ 37.296"" vd",21707103,,0,0,0,0,0,0.212,0,0,
731430043,"ASTRON studio CZ, a.s.",181300,Veselská 699,199 00 Praha,"50° 8´ 32.512"" sš 14° 31´ 4.013"" vd",26136678,,0,0,0,0,0,5.806,0,0,
727071083,ATALIAN CZ s.r.o. - PK a DA  KB Václavské nám.,812900,Václavské náměstí 796/42,110 00 Praha,"50° 4´ 52.278"" sš 14° 25´ 37.543"" vd",21705992,10.9,0.45,0,0.111,0,0,0,0,0,zemní plyn
731567991,AUTO ELSO s.r.o.,452000,Cukrovarská 900/10,196 00 Praha,"50° 9´ 3.782"" sš 14° 31´ 5.252"" vd",26019507,,0,0,0,0,0,0.054,0,0.158,
727410531,"AUTO JAROV, s.r.o.",451100,Osiková 2688/2,130 00 Praha,"50° 5´ 25.703"" sš 14° 29´ 56.910"" vd",21796947,0.3,0.142,0,0.033,0,0,2.654,0,0,zemní plyn
755540711,AUTO STYL a. s. Praha,451100,Jeremiášova 1115/3,155 00 Praha,"50° 2´ 22.300"" sš 14° 19´ 38.476"" vd",22741861,0.6,0.037,0,0.01,0,0.001,1.255,0,0,zemní plyn
730620291,AUTOAVANT DRUŽSTVO - AUTOSERVIS,452000,Ďáblická 553/2,182 00 Praha,"50° 7´ 55.008"" sš 14° 28´ 47.724"" vd",22395661,,0,0,0,0,0.012,0.809,0,0,
319900782,AUTODRUŽSTVO PODBABSKÁ,452000,Pod Paťankou 217/1,160 00 Praha,"50° 6´ 52.454"" sš 14° 23´ 30.617"" vd",22187448,1.4,0.006,0,0.001,0,0.008,0.088,0,0.412,zemní plyn
731280701,Autodružstvo Praha,452000,Spojovací 783/41,190 00 Praha,"50° 5´ 51.961"" sš 14° 29´ 53.570"" vd",22546898,1.8,0.008,0,0.638,0,0,0,0,0.145,zemní plyn
119805582,"Autosalon Klokočka Centrum, a.s. - provozovna Barrandov",451100,Borského 989/1,152 00 Praha,"50° 2´ 0.699"" sš 14° 22´ 56.213"" vd",22703454,,0.029,0,0.007,0,0,0.4,0,0,
729700491,"Autosalon Klokočka Centrum a.s., provozovna Karlovarská",451100,Karlovarská 660/117,163 00 Praha,"50° 4´ 36.169"" sš 14° 17´ 55.184"" vd",22766103,0.4,0.096,0,0.023,0,0,0.67,0,0,zemní plyn
119812352,Autoservis Hoffmann s.r.o.,452000,Průmyslová 1577,198 00 Praha,"50° 5´ 6.683"" sš 14° 32´ 26.640"" vd",27211398,,0,0,0,0,0,0.414,0,0.161,
782370191,"AUTO-Tech Vinoř, s.r.o. - Praha 9",293200,Lohenická 112,190 17 Praha,"50° 8´ 59.058"" sš 14° 35´ 8.757"" vd",22537040,0.4,0.004,0,0.001,0,0,0.853,0,0,zemní plyn
728611001,"AUTOTRIO PRAHA, s.r.o. - servis",452000,Vzpoury 2220/3,143 00 Praha,"49° 59´ 43.040"" sš 14° 24´ 23.897"" vd",21941513,,0.034,0,0.008,0,0,0,0,0,
310069582,AUTOVARS a.s.,451100,Jankovcova 1535/2a,170 00 Praha,"50° 6´ 16.405"" sš 14° 27´ 27.187"" vd",25120565,,0.032,0,0.001,0,0,0.73,0,0,
310068902,"Avia Propeller, s.r.o.",303000,Beranových 666,199 00 Praha,"50° 8´ 9.180"" sš 14° 30´ 58.300"" vd",25406183,,0.024,0.068,0,0,0.005,0.471,0,0.024897500000000003,
727120013,BA Betriebsobjekte Praha s.r.o.,682020,Revoluční 724/7,120 00 Praha,"50° 5´ 24.893"" sš 14° 25´ 39.693"" vd",,0.5,0.052,0,0.022,0,0.004,0,0,0,zemní plyn
310046822,Balírny Praha - Holešovice s.r.o. - Pražička kávy - Praha,108300, 1366,170 00 Praha,"50° 6´ 32.816"" sš 14° 27´ 26.030"" vd",22310533,,0.032,0,0,0,0,0,0,0,
310051792,"BAUMIT, spol. s r.o. - Praha 9, Cukrovarská",236400,Cukrovarská 864/9,196 00 Praha,"50° 9´ 8.534"" sš 14° 30´ 52.837"" vd",25065947,,0.998,0.259,3.916,0,0.603,0,0,0,
728760073,BENDIX SERVIS s.r.o.,469000,Plzeňská 222/51,150 00 Praha,"50° 4´ 18.220"" sš 14° 23´ 20.019"" vd",22019715,,0,0,0,0,0,0.635,0,0,
732450083,"BETONBAU,  s.r.o. - nanášení NH a truhlárna",236100,Průmyslová 698/5a,108 00 Praha,"50° 5´ 1.300"" sš 14° 32´ 10.930"" vd",41302907,,0,0,0,0,0,1.196,0,0,
310019232,Boutique Hotel Jalta,551010,45/818,110 00 Praha,"50° 4´ 51.975"" sš 14° 25´ 43.112"" vd",,2.6,0.111,0.001,0.027,0,0.002,0,0,0.005,zemní plyn
643770803,BREADWAY,107100,Vlastibořská 2790/4,193 00 Praha,"50° 7´ 15.388"" sš 14° 36´ 0.262"" vd",27860922,1.2,0.02,0,0.02,0,0,0,0,0,zemní plyn
310063392,"Bredovský Dvůr Centre v.o.s. - Praha 1, Olivova",682000,Olivova 2096/4,110 00 Praha,"50° 4´ 58.499"" sš 14° 25´ 49.343"" vd",25463471,2.5,0.059,0,0.035,0,0,0,0,0,zemní plyn
738620331,"BRUDRA s.r.o. - Energo Brudra, závod Radotín - mimo provoz",464200,Výpadová 1335,153 00 Praha,"49° 59´ 20.683"" sš 14° 22´ 31.517"" vd",22057757,21.3,0,0,0,0,0,0,0,0,
738620691,"BRUDRA s.r.o. - teplárna Radotín, Praha 5",464200,Výpadová (bez čísla popisného),153 00 Praha,"49° 59´ 20.683"" sš 14° 22´ 31.517"" vd",22057757,15.7,1.202,0.001,0.001,0,0.014,0,0,0.017,zemní plyn
310014202,"Calamarus, s.r.o. - Praha 9, Pod Táborem",181200,Pod Táborem 54/10,190 00 Praha,"50° 5´ 30.785"" sš 14° 30´ 48.460"" vd",22457739,,0,0,0,0,0,0.742,0,0,
746130013,"Car Mania, s.r.o.",452000,Trabantská 293/35,190 15 Praha,"50° 7´ 34.504"" sš 14° 33´ 45.395"" vd",22512098,,0,0,0,0,0,0.26,0,0,
310094972,Caverion Česká republika s.r.o. - I.P. Pavlova,683200,Náměstí I. P. Pavlova 5/1789,120 00 Praha,"50° 4´ 30.662"" sš 14° 25´ 46.721"" vd",21733996,1.0,0.13,0.001,0.022,0,0.02,0,0,0.005,zemní plyn
310096492,Caverion Česká republika s.r.o. - Palladium,683200,1/1078,110 00 Praha,"50° 5´ 21.144"" sš 14° 25´ 42.954"" vd",21709084,5.2,0.833,0.003,0.139,0,0.132,0,0,0.028,zemní plyn
732150023,CE Colo Czech s.r.o.,631100,Nad elektrárnou 1428/47,106 00 Praha,"50° 3´ 36.898"" sš 14° 28´ 58.312"" vd",26161371,20.2,0,0,0,0,0,0,0,0,nafta
119808072,"CEMEX Czech Republic, s.r.o. - betonárna Horní Počernice",236300,Lukavecká 1732,193 00 Praha,"50° 7´ 8.220"" sš 14° 37´ 0.570"" vd",22446664,,0,0,0,0,0.601,0,0,0,
119808082,"CEMEX Czech Republic, s.r.o. - betonárna Libuš",236300,Dobronická,146 00 Praha,"50° 0´ 46.774"" sš 14° 28´ 7.133"" vd",,0.4,0.013,0,0.001,0,0.279,0,0,0,zemní plyn
119808062,"CEMEX Czech Republic, s.r.o. - betonárna Stodůlky",236300,K Hájům 946/10,155 00 Praha,"50° 3´ 29.468"" sš 14° 19´ 25.526"" vd",22118195,,0,0,0,0,0.661,0,0,0,
310069342,"CEMEX Malešice s.r.o. - Praha, Průmyslová",236300,Teplárenská 608/11,108 00 Praha,"50° 5´ 2.179"" sš 14° 32´ 13.995"" vd",22591508,0.8,0.071,0,0.018,0,0.018,0,0,0.004,"propan, butan a jejich směsi"
310098022,"CeWe Color, a.s. - Praha 4, Kloknerova",742000,Kloknerova 2278/24,148 00 Praha,"50° 2´ 9.007"" sš 14° 29´ 17.874"" vd",25245571,0.4,0.395,0,0.466,0,0,0,0,0.044,zemní plyn
