url,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,paliva,nox,co,voc,tzl,so2,ostatni,amoniak,co2
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/730590013_CZ.html,AAA AUTO International Praha - lakovna,451100,Dopraváků 723/1,184 00 Praha,"50° 8´ 13.890"" sš 14° 26´ 53.171"" vd",22341609,"0,7",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,066","0,003","0,278",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/727878391_CZ.html,ABB s.r.o. - Polovodiče,271200,Novodvorská 1768/138a,142 21 Praha,"50° 1´ 40.854"" sš 14° 25´ 55.702"" vd",25206257,"3,8","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,332","0,007","3,419","0,006",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/731280711_CZ.html,"AF BKK, s.r.o.",181200,Podkovářská 674/2,190 00 Praha,"50° 6´ 13.123"" sš 14° 30´ 50.482"" vd",22545883,,,n/a,n/a,"2,032",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/119803082_CZ.html,"AGAGA, s.r.o. - hotel Boscolo",551010,Senovážné náměstí 991/13,110 00 Praha,"50° 5´ 10.515"" sš 14° 26´ 1.861"" vd",21708053,"2,2","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,475","0,117",n/a,"0,007","0,003","0,023",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/731280551_CZ.html,"AGMA, a.s. - slévárna neželezných kovů",245400,Kolbenova 159/5,190 00 Praha,"50° 6´ 39.037"" sš 14° 30´ 28.623"" vd",22541918,"1,4",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,527","0,062",n/a,"0,533","0,002","0,012",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/728220393_CZ.html,"AHOLD Czech Republic, a.s. - obchodní dům Albert 198",471100,Roztylská 2321/19,148 00 Praha,"50° 1´ 52.349"" sš 14° 29´ 24.995"" vd",26224186,"1,9",nafta,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/310098232_CZ.html,"AHOLD Czech Republic, a.s. - Praha, Fajtlova",471100,Fajtlova 1090/1,161 00 Praha,"50° 5´ 38.461"" sš 14° 17´ 26.915"" vd",26655241,"2,6","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,080","0,020",n/a,"0,002","0,000","0,004",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/793260053_CZ.html,"AHOLD Czech Republic, a.s. - Praha, Řevnická 121/1",471100,Řevnická 121/1,155 21 Praha,"50° 3´ 15.557"" sš 14° 17´ 19.077"" vd",25671944,"0,6",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/643770223_CZ.html,"AKONTEXT, společnost s ručením omezeným",181200,Jiřího ze Vtelna 1731/11,193 00 Praha,"50° 6´ 59.060"" sš 14° 36´ 29.458"" vd",22446656,,,n/a,n/a,"1,836",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ010/729050113_CZ.html,AKVAMARÍN BETA - Anděl Park,682020,Radlická 3201/14,150 00 Praha,"50° 4´ 13.935"" sš 14° 24´ 3.755"" vd",26157438,"2,3","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,168","0,041",n/a,"0,003","0,001","0,008",n/a,n/a
